1613621700000,51894.51000000,51976.50000000,51800.00000000,51932.24000000,453.32517700,1613622599999,23522233.38615410,21701,244.99604800,12713814.22962299,0
1613622600000,51932.24000000,52113.70000000,51906.18000000,52104.99000000,428.00836900,1613623499999,22263337.44101319,20691,238.00797700,12380697.15823534,0
1613623500000,52104.99000000,52180.00000000,52020.43000000,52153.36000000,500.42510900,1613624399999,26070006.54000411,21862,239.33773900,12468694.38868930,0
1613624400000,52153.36000000,52169.96000000,52077.72000000,52121.72000000,415.74277600,1613625299999,21671324.78564259,15843,164.61557300,8581055.36292755,0
1613625300000,52121.72000000,52298.00000000,52015.68000000,52250.76000000,507.10104900,1613626199999,26455266.03119393,18911,265.93011700,13875231.62621863,0
1613626200000,52250.75000000,52298.00000000,52127.05000000,52177.92000000,413.68762700,1613627099999,21594563.56472297,15546,209.94832600,10957474.87296874,0
1613627100000,52177.92000000,52185.64000000,52026.90000000,52170.01000000,441.23114100,1613627999999,22998000.85259301,16249,193.32046200,10076714.43340487,0
1613628000000,52170.02000000,52237.45000000,52048.65000000,52094.45000000,456.61391600,1613628899999,23803469.70062751,11824,218.73749400,11402253.58636408,0
1613628900000,52094.44000000,52150.00000000,51990.01000000,51990.01000000,495.16705500,1613629799999,25786847.40716152,13094,265.67043600,13837049.54047361,0
1613629800000,51990.00000000,52110.94000000,51938.77000000,52041.68000000,487.13055600,1613630699999,25354210.87666993,14371,192.29331000,10006722.99241778,0
1613630700000,52041.68000000,52041.69000000,51862.78000000,51905.66000000,513.41878100,1613631599999,26670476.49279547,14372,244.58284400,12704213.30833907,0
1613631600000,51905.65000000,51905.66000000,51750.00000000,51880.01000000,734.07108800,1613632499999,38044790.71814516,18029,400.00768600,20731896.65989611,0
1613632500000,51880.00000000,51880.00000000,51311.00000000,51408.56000000,1542.96322400,1613633399999,79589550.35410954,34117,634.97413500,32739855.62375659,0
1613633400000,51408.57000000,51593.70000000,51295.00000000,51478.38000000,1203.05133700,1613634299999,61937459.16374019,27042,525.80543800,27071803.16342654,0
1613634300000,51478.38000000,52085.85000000,51438.00000000,51901.96000000,1002.15275800,1613635199999,51920419.08412976,25810,521.32922700,27008165.66562198,0
1613635200000,51901.95000000,52168.75000000,51791.99000000,51890.00000000,606.84613300,1613636099999,31538905.89170350,27598,321.15857100,16694099.63025315,0
1613636100000,51889.99000000,51943.35000000,51600.00000000,51799.99000000,531.48735800,1613636999999,27502151.03184902,25828,285.13402800,14755507.84065206,0
1613637000000,51799.99000000,51818.62000000,51542.32000000,51806.88000000,588.29363400,1613637899999,30418216.45497303,23010,301.26474900,15578051.51175183,0
1613637900000,51806.88000000,51941.93000000,51686.20000000,51706.88000000,587.91689800,1613638799999,30482589.73729465,25689,313.79032700,16270630.54738153,0
1613638800000,51706.87000000,51729.99000000,51459.82000000,51606.44000000,876.79472000,1613639699999,45221831.67897708,23071,430.79105700,22217775.11358822,0
1613639700000,51606.44000000,51660.97000000,51480.00000000,51638.92000000,458.26912200,1613640599999,23632447.70369007,15474,227.24029000,11719367.26943215,0
1613640600000,51635.52000000,51842.17000000,51614.33000000,51754.13000000,587.77215100,1613641499999,30408788.91450062,18237,301.04913700,15576403.83342551,0
1613641500000,51754.13000000,51873.41000000,51752.10000000,51770.99000000,831.32549700,1613642399999,43077143.79473033,16091,249.93291700,12951435.72526910,0
1613642400000,51772.82000000,52000.00000000,51766.38000000,51939.97000000,708.20344100,1613643299999,36743211.99586688,19587,369.18569600,19157469.69863730,0
1613643300000,51939.97000000,51939.97000000,51773.00000000,51823.55000000,386.79625400,1613644199999,20063374.04089615,12794,183.57297800,9522089.27845450,0
1613644200000,51823.55000000,51857.80000000,51615.06000000,51622.76000000,562.73504900,1613645099999,29104935.02906705,14128,247.97753600,12825756.15962943,0
1613645100000,51622.76000000,51779.98000000,51529.20000000,51643.50000000,522.83298500,1613645999999,27001998.73588937,15672,249.59990300,12892401.52990545,0
1613646000000,51643.49000000,51720.32000000,51339.06000000,51542.89000000,969.14587100,1613646899999,49919584.65600644,19411,531.57058500,27365907.68559844,0
1613646900000,51542.88000000,51659.99000000,51420.00000000,51420.00000000,433.04346000,1613647799999,22332345.94199201,14779,200.04269300,10315616.42110393,0
1613647800000,51420.00000000,51577.65000000,51227.00000000,51391.34000000,1094.38364100,1613648699999,56264263.05318990,30107,546.97860600,28122000.60136958,0
1613648700000,51388.05000000,51438.65000000,51133.00000000,51374.07000000,833.40041000,1613649599999,42758125.40174191,23660,411.63875400,21123954.98712457,0
1613649600000,51375.12000000,51394.50000000,50901.90000000,50946.74000000,1426.96601900,1613650499999,72921881.63195986,43479,446.62968300,22835709.12753505,0
1613650500000,50946.74000000,51337.26000000,50936.33000000,51262.91000000,834.19200900,1613651399999,42716359.27456376,34671,399.45197000,20454142.85754404,0
1613651400000,51260.35000000,51570.83000000,51088.06000000,51570.67000000,821.62443300,1613652299999,42185702.10460123,32792,411.82108000,21148979.61302633,0
1613652300000,51570.67000000,51623.37000000,51378.37000000,51464.66000000,606.81719200,1613653199999,31230726.42968317,28080,290.24617200,14939969.65911016,0
1613653200000,51464.67000000,51539.40000000,51262.43000000,51427.81000000,526.28736400,1613654099999,27048968.88270072,21374,231.74591800,11910508.66235104,0
1613654100000,51427.80000000,51694.11000000,51425.01000000,51624.94000000,707.63922400,1613654999999,36508837.21352261,24643,333.36291200,17196786.31804215,0
1613655000000,51624.94000000,51841.08000000,51612.87000000,51786.65000000,877.65468700,1613655899999,45399010.67288824,27755,361.07197300,18677740.39522649,0
1613655900000,51786.65000000,52025.00000000,51779.30000000,51796.24000000,893.26362800,1613656799999,46343714.15405914,27379,471.16096100,24446772.54960686,0
1613656800000,51796.24000000,51943.79000000,51704.99000000,51713.14000000,570.55879400,1613657699999,29552323.66440580,20398,248.63311000,12878182.70895412,0
1613657700000,51713.13000000,51889.99000000,51613.23000000,51877.49000000,682.36970700,1613658599999,35331845.16308013,22267,318.05036900,16470114.83967433,0
1613658600000,51877.50000000,52285.00000000,51870.00000000,52173.97000000,979.91604000,1613659499999,51058064.13100302,32256,550.14550400,28665587.25532904,0
1613659500000,52173.97000000,52280.00000000,51971.03000000,52233.43000000,748.12463800,1613660399999,38995852.22101095,23074,333.48917000,17383924.66556309,0
1613660400000,52233.43000000,52260.00000000,51852.10000000,52018.26000000,787.95197500,1613661299999,40983069.25375893,20861,406.47013400,21139635.06697670,0
1613661300000,52018.25000000,52128.14000000,51700.00000000,51706.18000000,801.25404300,1613662199999,41583541.09345091,20421,369.12555300,19153497.50534855,0
1613662200000,51706.18000000,51764.16000000,51456.14000000,51641.35000000,1175.05561100,1613663099999,60636902.27237165,27165,590.51636000,30472457.05743730,0
1613663100000,51641.34000000,51700.00000000,51450.00000000,51585.29000000,654.47236200,1613663999999,33733817.20970112,18579,290.28275400,14961346.46460103,0
1613664000000,51585.29000000,51900.00000000,51450.00000000,51808.15000000,836.01963900,1613664899999,43255145.76935473,22899,395.02034000,20436397.71528148,0
1613664900000,51808.16000000,51989.93000000,51748.42000000,51920.00000000,580.18853000,1613665799999,30094546.05183112,16919,313.29446600,16250913.33844157,0
